CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'a') 1362
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'b') 1383
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'a') 1383
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'b') 1404
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'd', 'e', 'a') 1538
CRITICAL:root:('b', 'd', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'a') 1383
CRITICAL:root:('b', 'd', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'b') 1404
CRITICAL:root:('b', 'd', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'a') 1404
CRITICAL:root:('d', 'a', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'a') 1362
CRITICAL:root:('d', 'a', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'b') 1383
CRITICAL:root:('d', 'a', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'a') 1383
CRITICAL:root:('d', 'a', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'b') 1404
CRITICAL:root:('d', 'a', 'e', 'c', 'd', 'e', 'c', 'd', 'e', 'a') 1538
CRITICAL:root:('d', 'a', 'e', 'd', 'c', 'e', 'd', 'c', 'a', 'a') 1309
CRITICAL:root:('d', 'a', 'e', 'd', 'c', 'e', 'd', 'c', 'a', 'b') 1309
CRITICAL:root:('d', 'a', 'e', 'd', 'c', 'e', 'd', 'c', 'a', 'c') 1309
CRITICAL:root:('d', 'a', 'e', 'd', 'c', 'e', 'd', 'c', 'a', 'd') 1309
CRITICAL:root:('d', 'a', 'e', 'd', 'c', 'e', 'd', 'c', 'a', 'e') 1309
CRITICAL:root:('d', 'a', 'e', 'd', 'c', 'e', 'd', 'c', 'b', 'a') 1383
CRITICAL:root:('d', 'a', 'e', 'd', 'c', 'e', 'd', 'c', 'b', 'b') 1404
